SN	DISTRICT	DIVISION	WARD	VILLAGE	MITAA	Fname	FTYPE	OWNER	PLACE	OWNER2
4	Kigoma MC	Kigoma Kaskazini	Mwanga Kaskazini	Mlole	SIKALWANDA	Huruma	Dis	Private	Urban	Private
6	Kigoma MC	Kigoma Kaskazini	Mwanga Kaskazini	Mwanga Sokoni	NYERERE	Baptist	Hos	Religious	Urban	Fbo
9	Kigoma MC	Kigoma Kaskazini	Mwanga Kaskazini	Katubuka	CHUO CHA H/HEWA	Msufini	Dis	LGA	Urban	Public
18	Kigoma MC	Kigoma Kaskazini	Mwanga Kaskazini	Kisangani	SDA	Kisangani	Dis	Seventh Day Adventists	Urban	Fbo
23	Kigoma MC	Kigoma Kaskazini	Mwanga Kusini	Kilimahewa	KILIMAHEWA	Kilimahewa	Dis	TPDF	Urban	Public
27	Kigoma MC	Kigoma Kaskazini	Mwanga Kusini	Shaurimoyo	RUSIMBI	Mwanga Centre	Dis	Private	Urban	Private
32	Kigoma MC	Kigoma Kaskazini	Mwanga Kusini	Game	GEMU	Kigoma International	HC	Private	Urban	Private
35	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Katonga	KAMARA KISIWANI	Bangwe	Dis	LGA	Urban	Public
37	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Kamala	KAMALA MASHARIKI B	Police	Dis	Police	Urban	Public
42	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Sokoni	RUMUMBA KASKAZINI A	Sokoni	Dis	Parastatal TRC	Urban	Public
43	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Sokoni	RUMUMBA KASKAZINI B	Upendo	Dis	Private	Urban	Private
44	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Sokoni	RUMUMBA KUSINI	Kigoma	Dis	LGA	Urban	Public
46	Kigoma MC	Kigoma Kaskazini	Kigoma Bangwe	Mjimwema	MJIMWEMA TANGINI	Mjimwema	Dis	Prisons	Urban	Public
58	Kigoma MC	Kigoma Kaskazini	Gungu	Kibirizi	RASINI	Gungu	Dis	LGA	Urban	Public
70	Kigoma MC	Kigoma Kaskazini	Gungu	Gezaulole	GEZAULOLE	Muzdallifah	Dis	Private	Urban	Private
77	Kigoma MC	Kigoma Kusini	Kasimbu	Busomero	NDAHIRIWE	Ujiji	HC	LGA	Urban	Public
82	Kigoma MC	Kigoma Kusini	Buhanda Businde	Mgeo	RELI	Buhanda	Dis	LGA	Urban	Public
97	Kigoma MC	Kigoma Kusini	Buhanda Businde	Msufini	GENGE	Businde	Dis	LGA	Urban	Public
165	Kigoma MC	Kigoma Kusini	Rusimbi	Lake Tanganyika	LUMUMBA	Rusimbi	Dis	LGA	Urban	Public
182	Kigoma MC	Kigoma Kusini	Rusimbi	Burega	BUREGA	Maweni	Hos	LGA	Urban	Public
200	Kigoma DC	Nguruka	Nguruka	Nguruka	20/6/1976	Nguruka	HC	LGA	Rural	Public
205	Kigoma DC	Nguruka	Mganza	Mganza	20/5/1976	Mganza	Dis	LGA	Rural	Public
206	Kigoma DC	Nguruka	Mganza	Malagalasi	20/5/1976	Malagalasi	Dis	LGA	Rural	Public
207	Kigoma DC	Nguruka	Mtego Wa Noti	Mtego wa Noti	20/5/1976	Mtego wa Noti	Dis	LGA	Rural	Public
208	Kigoma DC	Nguruka	Mtego Wa Noti	Ilalangulu	20/5/1976	Ilalangulu	Dis	LGA	Rural	Public
209	Kigoma DC	Nguruka	Mtego Wa Noti	Chagu	20/7/1976	Chagu	Dis	LGA	Rural	Public
210	Kigoma DC	Nguruka	Uvinza	Uvinza	20/7/1978	Uvinza	HC	LGA	Rural	Public
211	Kigoma DC	Nguruka	Uvinza	Uvinza		Muzdalifa	Dis	Private	Rural	Private
212	Kigoma DC	Nguruka	Uvinza	Uvinza		Nyanza	Dis	Religious	Rural	Fbo
213	Kigoma DC	Nguruka	Uvinza	Basanza	20/5/1976	Basanza	Dis	LGA	Rural	Public
214	Kigoma DC	Nguruka	Uvinza	Chakulu	20/5/1976	Chakulu	Dis	LGA	Rural	Public
215	Kigoma DC	Nguruka	Uvinza	Mwamila	6/5/1995	Mwamila	Dis	LGA	Rural	Public
216	Kigoma DC	Buhingu	Buhingu	Buhingu	20/6/1976	Buhingu	HC	LGA	Rural	Public
217	Kigoma DC	Buhingu	Buhingu	Kalilani	6/5/1995			LGA	Rural	Public
218	Kigoma DC	Buhingu	Nkonkwa	Nkonkwa		Nkonkwa	Dis	LGA	Rural	Public
219	Kigoma DC	Buhingu	Kalya	Kalya	20/6/1976	Kalya	Dis	LGA	Rural	Public
220	Kigoma DC	Buhingu	Kalya	Kashaguru	20/6/1976	Kashaguru	Dis	LGA	Rural	Public
222	Kigoma DC	Buhingu	Igarula	Igarula	20/6/1976	Igarula	Dis	LGA	Rural	Public
223	Kigoma DC	Buhingu	Igarula	Rukoma	20/6/1976	Rukoma	Dis	LGA	Rural	Public
224	Kigoma DC	Buhingu	Igarula	Mgambazi		Mgambazi	Dis	LGA	Rural	Public
225	Kigoma DC	Buhingu	Sigunga	Sigunga	20/6/1976	Sigunga	Dis	LGA	Rural	Public
226	Kigoma DC	Buhingu	Sigunga	Herembe	20/6/1976	Herembe	Dis	LGA	Rural	Public
227	Kigoma DC	Buhingu	Sigunga	Kaparamsenga	20/6/1976	Kaparamsemba	Dis	LGA	Rural	Public
228	Kigoma DC	Buhingu	Sigunga	Mahembe	20/6/1976	Mahembe	Dis	LGA	Rural	Public
229	Kigoma DC	Mahembe	Mahembe	Mahembe		Kwitanga	Dis	Prisons	Rural	Public
230	Kigoma DC	Mahembe	Mahembe	Chankabwimba	20/6/1976	Chankabwimba	Dis	LGA	Rural	Public
231	Kigoma DC	Mahembe	Mahembe	Nkungwe	19/5/1976	Nkungwe	Dis	LGA	Rural	Public
232	Kigoma DC	Mahembe	Bitale	Bitale	20/5/1976	Bitale	HC	LGA	Rural	Public
233	Kigoma DC	Mahembe	Bitale	Chankele	20/5/1976	Chankele	Dis	LGA	Rural	Public
234	Kigoma DC	Mahembe	Bitale	Bubango	20/5/1976	Bubango	Dis	LGA	Rural	Public
235	Kigoma DC	Mahembe	Bitale	Kizenga	20/5/1976	Kizenga	Dis	LGA	Rural	Public
236	Kigoma DC	Mahembe	Bitale	Mkongoro	20/5/1976	Mkongoro	Dis	LGA	Rural	Public
237	Kigoma DC	Mahembe	Bitale	Nyamhoza	20/5/1976	Nyamhoza	Dis	LGA	Rural	Public
238	Kigoma DC	Mahembe	Matendo	Kidahwe	20/5/1976	Kidahwe	Dis	LGA	Rural	Public
239	Kigoma DC	Mahembe	Matendo	Pamila	20/5/1976	Kidahwe	Dis	LGA	Rural	Public
240	Kigoma DC	Mahembe	Matendo	Matendo	20/5/1976	Kidahwe	Dis	LGA	Rural	Public
241	Kigoma DC	Mwandiga	Mwandiga	Mwandiga	20/7/1978	Mwandiga	Dis	LGA	Rural	Public
245	Kigoma DC	Mwandiga	Mwandiga	Bigabiro (Kibingo)	23/5/1989	Bigabiro	Dis	Assemblies of God	Rural	Fbo
246	Kigoma DC	Mwandiga	Mwandiga	Kiganza	20/5/1976	Kiganza	Dis	Roman Catholic	Rural	Fbo
247	Kigoma DC	Mwandiga	Mungonya	Msimba	20/5/1976	Msimba	Dis	LGA	Rural	Public
248	Kigoma DC	Mwandiga	Mungonya	Kamara	20/5/1976	Kamara	Dis	LGA	Rural	Public
249	Kigoma DC	Mwandiga	Kagongo	Mtanga	20/6/1976	Mtanga	Dis	LGA	Rural	Public
250	Kigoma DC	Mwandiga	Kagongo	Mgaraganza	20/6/1976	Mgaraganza	Dis	LGA	Rural	Public
251	Kigoma DC	Ilagala	Ilagala	Ilagala	20/6/1976	Ilagala	Dis	LGA	Rural	Public
252	Kigoma DC	Ilagala	Ilagala	Mkuyu (Lyabusende)				LGA	Rural	Public
253	Kigoma DC	Ilagala	Ilagala	Songambere				LGA	Rural	Public
254	Kigoma DC	Ilagala	Ilagala	Mwakizenga	20/6/1976	Mwakizenga	Dis	LGA	Rural	Public
255	Kigoma DC	Ilagala	Ilagala	Mwakizenga		Bulombola	Dis	TPDF	Rural	Public
256	Kigoma DC	Ilagala	Ilagala	Mwakizenga		Ilagala	Dis	Prisons	Rural	Public
257	Kigoma DC	Ilagala	Simbo	Simbo	6/4/1976	Simbo	Dis	LGA	Rural	Public
258	Kigoma DC	Ilagala	Simbo	Kasuku	20/6/1976			LGA	Rural	Public
259	Kigoma DC	Ilagala	Simbo	Nyamori	20/6/1976	Nyamori	Dis	LGA	Rural	Public
260	Kigoma DC	Ilagala	Simbo	Kaseke	20/6/1976	Kaseke	Dis	LGA	Rural	Public
261	Kigoma DC	Ilagala	Sunuka	Sunuka	20/6/1976	Sunuka	Dis	LGA	Rural	Public
262	Kigoma DC	Ilagala	Sunuka	Kilando	20/6/1976	Kilando	Dis	LGA	Rural	Public
263	Kigoma DC	Ilagala	Sunuka	Karago	20/6/1976	Karago	Dis	LGA	Rural	Public
264	Kigoma DC	Ilagala	Kandanga	Kandanga	20/5/1976	Kandanga	Dis	LGA	Rural	Public
265	Kigoma DC	Ilagala	Kandanga	Mlela	20/5/1976	Mlela	Dis	LGA	Rural	Public
266	Kigoma DC	Ilagala	Kandanga	Kazuramimba	20/5/1976	Kazuramimba	Dis	LGA	Rural	Public
267	Kigoma DC	Ilagala	Kandanga	Kalenge	20/5/1976	Kalenge	Dis	LGA	Rural	Public
268	Kigoma DC	Ilagala	Kandanga	Nyanganga	20/7/1978	Nyanganga	Dis	LGA	Rural	Public
269	Kigoma DC	Kalinzi	Kalinzi	Kalinzi	20/5/1976	Kalinzi	Dis	LGA	Rural	Public
270	Kigoma DC	Kalinzi	Kalinzi	Matyazo	20/5/1976	Matyazo	HC	Anglican	Rural	Fbo
271	Kigoma DC	Kalinzi	Kalinzi	Mkabogo	20/5/1976	Mkabogo	Dis	LGA	Rural	Public
272	Kigoma DC	Kalinzi	Mkigo	Mkigo	20/5/1976	Mkigo	Dis	LGA	Rural	Public
273	Kigoma DC	Kalinzi	Mkigo	Nyarubanda	20/5/1976	Nyarubanda	Dis	LGA	Rural	Public
274	Kigoma DC	Kalinzi	Mwamgongo	Mwamgongo	20/6/1976	Mwamgongo	HC	LGA	Rural	Public
275	Kigoma DC	Kalinzi	Mwamgongo	Kiziba		Kiziba		LGA	Rural	Public
276	Kigoma DC	Kalinzi	Kagunga	Kagunga	20/6/1976	Kagunga		LGA	Rural	Public
277	Kigoma DC	Kalinzi	Kagunga	Zashe	20/6/1976	Zashe		LGA	Rural	Public
278	Kigoma DC	Kalinzi	Kagunga	Bugamba	20/6/1976	Bugamba	Dis	Private	Rural	Private
279	Kasulu DC	Buhoro	Buhoro	Shunga		Shunga	HC	Anglican	Rural	Fbo
280	Kasulu DC	Buhoro	Buhoro	Buhoro		Buhoro	Dis	LGA	Rural	Public
281	Kasulu DC	Buhoro	Nyakitonto	Nyakitonto		Nyakitonto	HC	LGA	Rural	Public
282	Kasulu DC	Buhoro	Nyakitonto	Mugombe		Mugombe	Dis	LGA	Rural	Public
283	Kasulu DC	Buhoro	Kitagata	Kitagata		Kitagata	Dis	LGA	Rural	Public
284	Kasulu DC	Buhoro	Kitagata	Kitagata		Kitagata	HC	LGA	Rural	Public
285	Kasulu DC	Buhoro	Kitagata	Mwali		Mwali	Dis	LGA	Rural	Public
286	Kasulu DC	Buhoro	Kitagata	Nyachenda		Nyachenda	Dis	LGA	Rural	Public
287	Kasulu DC	Buhoro	Nyamnyusi	Kitema		Kitema	Dis	LGA	Rural	Public
288	Kasulu DC	Buhoro	Nyamnyusi	Kanazi		Kanazi	Dis	LGA	Rural	Public
290	Kasulu DC	Buyonga	Muzye	Muzye		Muzye	Dis	LGA	Rural	Public
291	Kasulu DC	Buyonga	Muzye	Bugaga		Bugaga	Dis	LGA	Rural	Public
292	Kasulu DC	Buyonga	Muzye	Kasangezi		Kasangezi	Dis	LGA	Rural	Public
294	Kasulu DC	Buyonga	Muzye	Kigembe		Kigembe	Dis	LGA	Rural	Public
296	Kasulu DC	Buyonga	Rusesa	Rusesa		Rusesa	HC	LGA	Rural	Public
297	Kasulu DC	Buyonga	Rusesa	Zeze		Zeze	Dis	LGA	Rural	Public
298	Kasulu DC	Buyonga	Kwaga	Kwaga		Kwaga	Dis	LGA	Rural	Public
299	Kasulu DC	Buyonga	Kwaga	Kalela		Kalela	Dis	LGA	Rural	Public
300	Kasulu DC	Buyonga	Munzeze	Munzeze		Munzeze	Dis	LGA	Rural	Public
301	Kasulu DC	Buyonga	Munzeze	Kigogwe		Kigogwe	Dis	LGA	Rural	Public
302	Kasulu DC	Makere	Nyamidaho	Makere		Makere	Dis	LGA	Rural	Public
303	Kasulu DC	Makere	Nyamidaho	Nyamidaho		Nyamidaho	Dis	LGA	Rural	Public
304	Kasulu DC	Makere	Nyamidaho	Mvugwe		Mvugwe	Dis	LGA	Rural	Public
305	Kasulu DC	Makere	Heru Ushingo	Heru Ushingo		Heru Ushingo	Dis	LGA	Rural	Public
306	Kasulu DC	Makere	Heru Ushingo	Kigadye		Kigadye	Dis	LGA	Rural	Public
308	Kasulu DC	Makere	Kitanga	Kitanga		Kitanga	Dis	LGA	Rural	Public
309	Kasulu DC	Makere	Kagera Nkanda	Kagera Nkanda		Kagera Nkanda	Dis	LGA	Rural	Public
310	Kasulu DC	Makere	Kagera Nkanda	Mvinza		Mvinza	Dis	LGA	Rural	Public
311	Kasulu DC	Manyovu	Mnanila	Mnanila		Mnanila	Dis	LGA	Rural	Public
312	Kasulu DC	Manyovu	Mnanila	Mnanila		Muzadalif	Dis	BAKWATA	Rural	Private
313	Kasulu DC	Manyovu	Mnanila	Kibwigwa		Kibigwa	Dis	LGA	Rural	Public
314	Kasulu DC	Manyovu	Mnanila	Nyakimue		Nyakimue	Dis	LGA	Rural	Public
315	Kasulu DC	Manyovu	Mnanila	Kitambuka		Kitambuka	Dis	LGA	Rural	Public
316	Kasulu DC	Manyovu	Mnanila	Mkatanga		Musagara	Dis	Roman Catholic	Rural	Fbo
317	Kasulu DC	Manyovu	Muhinda	Mwayaya		Mwayaya	Dis	LGA	Rural	Public
318	Kasulu DC	Manyovu	Muhinda	Muhinda		Muhinda	Dis	Roman Catholic	Rural	Fbo
319	Kasulu DC	Manyovu	Muhinda	Nyaruboza		Nyaruboza	Dis	LGA	Rural	Public
321	Kasulu DC	Manyovu	Rusaba	Rusaba		Rusaba	Dis	LGA	Rural	Public
322	Kasulu DC	Manyovu	Rusaba	Kinazi		Kinazi	Dis	LGA	Rural	Public
323	Kasulu DC	Manyovu	Janda	Janda		Janda	HC	LGA	Rural	Public
324	Kasulu DC	Manyovu	Janda	Kirungu		Kirungu	Dis	LGA	Rural	Public
325	Kasulu DC	Manyovu	Janda	Bukuba		Nyamabuye	Dis	Religious	Rural	Fbo
326	Kasulu DC	Manyovu	Buhigwe	Mulera		Mulera	HC	Roman Catholic	Rural	Fbo
327	Kasulu DC	Manyovu	Buhigwe	Kibande		Kibande	Dis	LGA	Rural	Public
328	Kasulu DC	Manyovu	Buhigwe	Nyankoronko		Nyankoronko	Dis	LGA	Rural	Public
329	Kasulu DC	Manyovu	Buhigwe	Buhigwe		Buhigwe	Dis	LGA	Rural	Public
331	Kasulu DC	Muyama	Muyama	Nyanga		Muyama	HC	LGA	Rural	Public
332	Kasulu DC	Muyama	Muyama	Kasumo		Kasumo	Dis	Roman Catholic	Rural	Fbo
334	Kasulu DC	Muyama	Kilelema	Kilelema		Kilelema	Dis	LGA	Rural	Public
335	Kasulu DC	Muyama	Kilelema	Mugera		Mugera	Dis	LGA	Rural	Public
336	Kasulu DC	Muyama	Kilelema	Migongo		Migongo	Dis	LGA	Rural	Public
337	Kasulu DC	Muyama	Kajana	Kajana		Kajana	Dis	LGA	Rural	Public
338	Kasulu DC	Muyama	Kajana	Katundu		Katundu	Dis	LGA	Rural	Public
339	Kasulu DC	Muyama	Nyamgali	Biharu		Biharu	HC	Religious	Rural	Fbo
341	Kasulu DC	Muyama	Nyamgali	Bulimanyi		Nyamgali	Dis	LGA	Rural	Public
342	Kasulu DC	Heru Chini	Kasulu Mjini	Murubona		Kiganamo	HC	LGA	Rural	Public
343	Kasulu DC	Heru Chini	Kasulu Mjini	Murubona		Kasulu	Hos	LGA	Rural	Public
344	Kasulu DC	Heru Chini	Kasulu Mjini	Murubona		Murubona	Dis	Seventh Day Adventists	Rural	Fbo
345	Kasulu DC	Heru Chini	Kasulu Mjini	Murubona		Muzdalifa	Dis	BAKWATA	Rural	Private
347	Kasulu DC	Heru Chini	Kigondo	Kigondo		Kigondo	Dis	LGA	Rural	Public
349	Kasulu DC	Heru Chini	Ruhita	Nyenge		Nyenge	HC	LGA	Rural	Public
352	Kasulu DC	Heru Chini	Ruhita	Ruhita		Ruhita	Dis	LGA	Rural	Public
353	Kasulu DC	Heru Chini	Titye	Titye		Titye	Dis	LGA	Rural	Public
354	Kasulu DC	Heru Chini	Titye	Lalambe		Lalambe	Dis	LGA	Rural	Public
355	Kasulu DC	Heru Chini	Titye	Shunguliba		Shunguliba	Dis	LGA	Rural	Public
356	Kasulu DC	Heru Chini	Murufiti	Murufiti		Murufiti	Dis		Rural	TBD
357	Kasulu DC	Heru Chini	Murufiti	Nyantare		Nyantare	Dis	LGA	Rural	Public
358	Kasulu DC	Heru Chini	Murufiti	Nyansha		Nyansha	Dis	LGA	Rural	Public
359	Kasulu DC	Heru Chini	Rungwe Mpya	Rungwe Mpya		Rungwe Mpya	Dis	LGA	Rural	Public
360	Kasulu DC	Heru Chini	Rungwe Mpya	Asante Nyerere		Asante Nyerere	Dis	LGA	Rural	Public
361	Kasulu DC	Heru Chini	Rungwe Mpya	Nyumbigwa		Nyumbigwa	Dis	LGA	Rural	Public
362	Kasulu DC	Heru Chini	Rungwe Mpya	Kaguruka		Kaguruka	Dis	LGA	Rural	Public
364	Kasulu DC	Heru Chini	Msambara	Kabanga		Kabanga	Hos	Roman Catholic	Rural	Fbo
365	Kasulu DC	Heru Chini	Msambara	Msambara		Msambara	Dis	Religious	Rural	Fbo
366	Kasulu DC	Heru Juu	Muhunga	Muhunga		Muhunga	Dis	LGA	Rural	Public
367	Kasulu DC	Heru Juu	Muhunga	Marumba		Marumba	Dis	LGA	Rural	Public
368	Kasulu DC	Heru Juu	Muhunga	Marumba		Marumba	Dis	Roman Catholic	Rural	Fbo
369	Kasulu DC	Heru Juu	Muhunga	Karunga		Heru Juu	Dis	LGA	Rural	Public
371	Kasulu DC	Heru Juu	Munyegera	Munyegera		Munyegera	Dis	LGA	Rural	Public
372	Kasulu DC	Heru Juu	Munyegera	Songambele		Songambele	Dis	LGA	Rural	Public
373	Kasulu DC	Heru Juu	Munyegera	Muganza		Mwibuye	Dis	LGA	Rural	Public
374	Kasulu DC	Heru Juu	Munyegera	Mwanga B		Mwanga	Dis	LGA	Rural	Public
375	Kibondo DC	Kibondo	Kibondo	Kumwambu	KIBINGO	Nabuhima	Dis	LGA	Rural	Public
379	Kibondo DC	Kibondo	Kibondo	Kumwambu	KABWIGWA	Kibondo	Hos	LGA	Rural	Public
386	Kibondo DC	Kibondo	Kibondo	Biturana	NYAMPENGERE	Biturana	Dis	LGA	Rural	Public
396	Kibondo DC	Kibondo	Kibondo	Nengo	NENGO	Nengo	Dis	LGA	Rural	Public
402	Kibondo DC	Kibondo	Kibondo	Nengo	NYAMISIVYI	Nyamisivyi	Dis	Prisons	Rural	Public
404	Kibondo DC	Kibondo	Kibondo	Kibondo Mjini	BOMA	Kibondo KDC	Dis	LGA	Rural	Public
405	Kibondo DC	Kibondo	Kibondo	Kibondo Mjini	KUMWAYI	Kibondo Mjini	Dis	BAKWATA	Rural	Private
406	Kibondo DC	Kibondo	Kibondo	Kibondo Mjini	KUMWELULO SOKONI	Neema	Dis	LGA	Rural	Public
414	Kibondo DC	Kibondo	Misezero	Misezero	NYESOGO	Bitare	Dis	LGA	Rural	Public
424	Kibondo DC	Kibondo	Misezero	Kumuhama	KUMUGOBOKA	Kumuhama	Dis	LGA	Rural	Public
432	Kibondo DC	Kibondo	Misezero	Twabagondozi	NARUKINGA	Twabagondozi	Dis	LGA	Rural	Public
441	Kibondo DC	Kibondo	Misezero	Kumkugwa	KUMLAMA	Kumkugwa	Dis	LGA	Rural	Public
442	Kibondo DC	Kibondo	Misezero	Kumkugwa	KAVURUGA	Kanembwa JKT	Dis	TPDF	Rural	Public
449	Kibondo DC	Kibondo	Bunyambo	Minyinya	BUSTANI	Minyinya	Dis	LGA	Rural	Public
459	Kibondo DC	Kibondo	Bunyambo	Bunyambo	NYANGWA	Bunyambo	Dis	LGA	Rural	Public
469	Kibondo DC	Kibondo	Bunyambo	Samvura	NYANGWA A	Samvura	Dis	LGA	Rural	Public
479	Kibondo DC	Kibondo	Rugongwe	Kigaga	KIGAGA A	Kigaga	Dis	LGA	Rural	Public
489	Kibondo DC	Kibondo	Rugongwe	Kichananga	NYAKICHACHA	Kichananga	Dis	LGA	Rural	Public
499	Kibondo DC	Kibondo	Rugongwe	Busunzu	NYAMGULUMA A	Busunzu	Dis	LGA	Rural	Public
519	Kibondo DC	Kibondo	Rugongwe	Kisogwe	NYAMILEMBI A	Kisogwe	Dis	LGA	Rural	Public
520	Kibondo DC	Kibondo	Rugongwe	Kisogwe	NYAMILEMBI B	Mkugwa Camp	Dis	MDA	Rural	Public
529	Kibondo DC	Kibondo	Murungu	Kumhasha	NDUTA	Kumhasha	Dis	LGA	Rural	Public
539	Kibondo DC	Kibondo	Murungu	Kumbanga	KUMGERA	Kumbanga	Dis	LGA	Rural	Public
549	Kibondo DC	Kibondo	Busagara	Kifura	NYENTAMBA	Kifura	HC	LGA	Rural	Public
559	Kibondo DC	Kibondo	Busagara	Kigendeka	NTAKAMA A	Kigendeka	Dis	LGA	Rural	Public
569	Kibondo DC	Kibondo	Busagara	Kasaka	MUGALIKA	Nyaruyoba	Dis	LGA	Rural	Public
579	Kibondo DC	Kibondo	Busagara	Nyaruyoba	NYARUYOBA	Kasaka	Dis	LGA	Rural	Public
589	Kibondo DC	Kibondo	Kitahana	Kitahana	KILUNDO A	Kitahana	Dis	LGA	Rural	Public
599	Kibondo DC	Kibondo	Kitahana	Rusohoko	KAGOMERO A	Rusohoko	Dis	LGA	Rural	Public
600	Kibondo DC	Kibondo	Kitahana	Rusohoko	KAGOMERO B	Nduta Camp	Dis	LGA	Rural	Public
609	Kibondo DC	Kibondo	Kitahana	Rugunga	SONGAMBELE	Rugunga	Dis	LGA	Rural	Public
619	Kibondo DC	Kibondo	Kitahana	Kibingo	KUNGWA	Kibingo	Dis	LGA	Rural	Public
624	Kibondo DC	Kasanda	Gwanumpu	Gwanumpu	GWANUMPU A	Gwanumpu	Dis	LGA	Rural	Public
634	Kibondo DC	Kasanda	Gwanumpu	Bukiliro	KITANGURA	Bukiliro	Dis	LGA	Rural	Public
644	Kibondo DC	Kasanda	Gwanumpu	Katanga	KASHAWE	Katanga	Dis	LGA	Rural	Public
664	Kibondo DC	Kasanda	Mugunzu	Mugunzu	KAYOGORO A	Mugunzu	Dis	LGA	Rural	Public
684	Kibondo DC	Kasanda	Mugunzu	Nyagwijima	NYAGWIJIMA	Nyagwijima	Dis	LGA	Rural	Public
694	Kibondo DC	Kasanda	Kasanda	Kasanda	KASANDA	Kasanda	Dis	LGA	Rural	Public
705	Kibondo DC	Kasanda	Kasanda	Kazilamihunda	KANYETAMO	Kazilamihunda	Dis	LGA	Rural	Public
706	Kibondo DC	Kasanda	Kasanda	Kazilamihunda	KAMUKWABURE	Keza	Dis	Religious	Rural	Fbo
707	Kibondo DC	Kasanda	Kasanda	Kazilamihunda	KUMUNZOYA	Kanembwa	Dis	TPDF	Rural	Public
711	Kibondo DC	Mabamba	Mabamba	Mabamba	MABAMBA MJINI	Mabamba	HC	LGA	Rural	Public
721	Kibondo DC	Mabamba	Mabamba	Mkarazi	STENDI	Mukarazi	Dis	LGA	Rural	Public
731	Kibondo DC	Mabamba	Mabamba	Nyange	NYANGE A	Nyange	Dis	LGA	Rural	Public
741	Kibondo DC	Mabamba	Mabamba	Nyakasanda	KABWIREMBI	Nyakasanda	Dis	LGA	Rural	Public
751	Kibondo DC	Mabamba	Kizazi	Nyarugusu	MUTABO	Nyarugusu	Dis	LGA	Rural	Public
761	Kibondo DC	Mabamba	Kizazi	Nyabitaka	MAJENGO MAPYA	Nyabitaka	Dis	LGA	Rural	Public
771	Kibondo DC	Mabamba	Kizazi	Kumshwabure	NYARUNANGA	Nyarugunga	Dis	LGA	Rural	Public
781	Kibondo DC	Mabamba	Kumsenga	Kumsenga	LINDA	Kumsenga	Dis	LGA	Rural	Public
791	Kibondo DC	Mabamba	Kumsenga	Kagezi	RUNGARUNGA	Kagezi	Dis	LGA	Rural	Public
801	Kibondo DC	Mabamba	Kumsenga	Kibuye	KIKONKO	Kibuye	Dis	LGA	Rural	Public
811	Kibondo DC	Mabamba	Itaba	Buyezi	BUYEZI	Itaba	Dis	LGA	Rural	Public
821	Kibondo DC	Mabamba	Itaba	Kigogo	RUBABA	Kigogo	Dis	LGA	Rural	Public
831	Kibondo DC	Mabamba	Itaba	Mukabuye	MURUNGUNGA	Mukabuye	Dis	LGA	Rural	Public
841	Kibondo DC	Kakonko	Kakonko	Kabingo	MTAKUJA A	Kabingo	Dis	LGA	Rural	Public
842	Kibondo DC	Kakonko	Kakonko	Kabingo	MTAKUJA B	Kabingo JWTZ	Dis	TPDF	Rural	Public
851	Kibondo DC	Kakonko	Kakonko	Kiyobera	KAMANYU A	Kiyobera	Dis	LGA	Rural	Public
861	Kibondo DC	Kakonko	Kakonko	Kakonko/mbizi	KIZINDA A	Mbizi	Dis	LGA	Rural	Public
871	Kibondo DC	Kakonko	Kakonko	Itumbiko	IBUGA A	Itumbiko	Dis	LGA	Rural	Public
882	Kibondo DC	Kakonko	Kakonko	Muganza	GEZAULOLE	Kakonko	HC	LGA	Rural	Public
892	Kibondo DC	Kakonko	Kakonko	Kanyonza	CHERABURO A	Kanyonza	Dis	LGA	Rural	Public
903	Kibondo DC	Kakonko	Nyamtukuza	Nyamtukuza	MURUHAMA	Nyamtukuza	Dis	LGA	Rural	Public
913	Kibondo DC	Kakonko	Nyamtukuza	Nyanzige/Kinyinya	NYABULIKO	Nyanzige	HC	LGA	Rural	Public
933	Kibondo DC	Kakonko	Nyabibuye	Nyabibuye	KITAMO A	Nyabibuye	Dis	LGA	Rural	Public
943	Kibondo DC	Kakonko	Nyabibuye	Rumashi	KATONGATI	Rumashi	Dis	LGA	Rural	Public
953	Kibondo DC	Kakonko	Kasuga	Kasuga	KUMLANGALA A	Kasuga	Dis	LGA	Rural	Public
963	Kibondo DC	Kakonko	Kasuga	Kinonko	NTANYERERE	Kinonko	Dis	LGA	Rural	Public
974	Kibondo DC	Kakonko	Kasuga	Nyakayenzi	KATAHOKWA A	Nyakayenzi	Dis	LGA	Rural	Public
983	Kibondo DC	Kakonko	Rugenge	Kiga	KABILIZI A	Kiga	Dis	LGA	Rural	Public
993	Kibondo DC	Kakonko	Rugenge	Kasongati	KIHINDA A	Kasongati	Dis	LGA	Rural	Public
1003	Kibondo DC	Kakonko	Muhange	Muhange	MADUKANI	Muhange	Dis	LGA	Rural	Public
1013	Kibondo DC	Kakonko	Muhange	Gwarama	VYESATO A	Gwarama	Dis	LGA	Rural	Public
1023	Kibondo DC	Kakonko	Muhange	Kabare	KABARE	Kabare	Dis	Religious	Rural	Fbo
1035	Bukoba MC	Rwamishenye	Bakoba	Buyekela Asili		Buyekera	Dis	Police	Urban	Public
1037	Bukoba MC	Rwamishenye	Bakoba	Forodhani		Tanica	Dis	Parastatal	Urban	Public
